[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4235] pstFrameInfo->nFrameNum[4237]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4237] pstFrameInfo->nFrameNum[4239]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4239] pstFrameInfo->nFrameNum[4241]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4242] pstFrameInfo->nFrameNum[4244]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4244] pstFrameInfo->nFrameNum[4246]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4246] pstFrameInfo->nFrameNum[4248]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4248] pstFrameInfo->nFrameNum[4250]
[2020-07-21 07:18:27] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:27] |    StreamProcess.cpp-L0541: nFrameNum[4250] pstFrameInfo->nFrameNum[4252]
[2020-07-21 07:18:28] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:28] |    StreamProcess.cpp-L0541: nFrameNum[4252] pstFrameInfo->nFrameNum[4254]
[2020-07-21 07:18:28] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:28] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-07-21 07:18:28] |    StreamProcess.cpp-L0541: nFrameNum[4254] pstFrameInfo->nFrameNum[4257]
[2020-07-21 07:18:28] |    StreamProcess.cpp-L1471: delete one DataNode
